lo_orderkey|lo_linenumber|lo_custkey|lo_partkey|lo_suppkey|lo_orderdate|lo_orderpriority|lo_shippriority|lo_quantity|lo_extendedprice|lo_ordertotalprice|lo_discount|lo_revenue|lo_supplycost|lo_tax|lo_commitdate|lo_shipmode
66|4|7|42|1|19980418|3-MEDIUM|0|44|4144976|19879037|7|3854827|56522|2|19980708|FOB
66|5|7|149|2|19980418|3-MEDIUM|0|34|3567076|19879037|8|3281709|62948|7|19980621|RAIL
66|6|7|163|1|19980418|3-MEDIUM|0|7|744212|19879037|3|721885|63789|6|19980604|SHIP
66|7|7|94|1|19980418|3-MEDIUM|0|1|99409|19879037|10|89468|59645|3|19980626|FOB
67|1|17|22|2|19940604|4-NOT SPECI|0|4|368808|11622705|9|335615|55321|4|19940717|SHIP
67|2|17|21|2|19940604|4-NOT SPECI|0|12|1105224|11622705|9|1005753|55261|5|19940807|REG AIR
67|3|17|174|1|19940604|4-NOT SPECI|0|5|537085|11622705|3|520972|64450|7|19940729|TRUCK
67|4|17|88|1|19940604|4-NOT SPECI|0|44|4347552|11622705|8|3999747|59284|6|19940715|RAIL
67|5|17|41|2|19940604|4-NOT SPECI|0|23|2164392|11622705|5|2056172|56462|7|19940731|REG AIR
67|6|17|179|1|19940604|4-NOT SPECI|0|29|3129593|11622705|2|3067001|64750|5|19940713|FOB
68|1|13|8|1|19931218|5-LOW|0|3|272400|17322350|5|258780|54480|2|19940204|RAIL
68|2|13|176|2|19931218|5-LOW|0|46|4950382|17322350|2|4851374|64570|5|19940206|MAIL
68|3|13|35|1|19931218|5-LOW|0|46|4301138|17322350|4|4129092|56101|5|19940309|RAIL
68|4|13|95|2|19931218|5-LOW|0|20|1990180|17322350|7|1850867|59705|1|19940122|REG AIR
68|5|13|83|1|19931218|5-LOW|0|27|2654316|17322350|3|2574686|58984|6|19940224|SHIP
68|6|13|103|1|19931218|5-LOW|0|30|3009300|17322350|5|2858835|60186|6|19940312|RAIL
69|1|1|116|1|19980124|4-NOT SPECI|0|48|4877328|16217623|1|4828554|60966|7|19980402|TRUCK
69|2|1|105|2|19980124|4-NOT SPECI|0|32|3216320|16217623|8|2959014|60306|6|19980408|REG AIR
69|3|1|138|2|19980124|4-NOT SPECI|0|17|1764821|16217623|9|1605987|62287|0|19980226|AIR
69|4|1|38|2|19980124|4-NOT SPECI|0|3|281409|16217623|9|256082|56281|4|19980318|MAIL
69|5|1|93|2|19980124|4-NOT SPECI|0|42|4170978|16217623|7|3879009|59585|4|19980317|REG AIR
69|6|1|19|1|19980124|4-NOT SPECI|0|23|2113723|16217623|5|2008036|55140|0|19980328|SHIP
70|1|22|65|2|19940417|2-HIGH|0|8|772048|2230007|3|748886|57903|8|19940627|FOB
70|2|22|197|2|19940417|2-HIGH|0|13|1426347|2230007|6|1340766|65831|6|19940613|AIR
71|1|5|62|1|19930129|3-MEDIUM|0|25|2405150|7126258|9|2188686|57723|7|19930427|FOB
71|2|5|66|2|19930129|3-MEDIUM|0|3|289818|7126258|9|263734|57963|7|19930408|SHIP
71|3|5|35|2|19930129|3-MEDIUM|0|45|4207635|7126258|0|4207635|56101|7|19930325|SHIP
96|1|22|124|2|19940925|1-URGENT|0|23|2355476|8694444|10|2119928|61447|6|19941207|TRUCK
96|2|22|136|1|19940925|1-URGENT|0|30|3108390|8694444|1|3077306|62167|6|19941106|TRUCK
96|3|22|96|1|19940925|1-URGENT|0|20|1992180|8694444|5|1892571|59765|7|19941117|AIR
96|4|22|124|2|19940925|1-URGENT|0|11|1126532|8694444|0|1126532|61447|3|19941214|AIR
97|1|19|120|1|19940313|4-NOT SPECI|0|13|1326156|8271498|0|1326156|61207|2|19940517|TRUCK
97|2|19|50|1|19940313|4-NOT SPECI|0|37|3515185|8271498|2|3444881|57003|6|19940512|SHIP
97|3|19|78|2|19940313|4-NOT SPECI|0|19|1858333|8271498|6|1746833|58684|8|19940417|RAIL
97|4|19|87|1|19940313|4-NOT SPECI|0|14|1381912|8271498|3|1340454|59224|3|19940417|TRUCK
98|1|29|41|1|19980228|4-NOT SPECI|0|28|2634912|8457002|6|2476817|56462|7|19980330|REG AIR
98|2|29|110|2|19980228|4-NOT SPECI|0|1|101011|8457002|0|101011|60606|0|19980517|TRUCK
98|3|29|45|1|19980228|4-NOT SPECI|0|14|1323056|8457002|5|1256903|56702|2|19980427|AIR
98|4|29|168|1|19980228|4-NOT SPECI|0|10|1068160|8457002|3|1036115|64089|3|19980413|RAIL
98|5|29|185|2|19980228|4-NOT SPECI|0|33|3581094|8457002|9|3258795|65110|3|19980406|MAIL
99|1|7|88|2|19960317|3-MEDIUM|0|10|988080|5860752|2|968318|59284|1|19960607|RAIL
99|2|7|124|1|19960317|3-MEDIUM|0|5|512060|5860752|2|501818|61447|7|19960601|RAIL
99|3|7|135|2|19960317|3-MEDIUM|0|42|4347546|5860752|2|4260595|62107|2|19960522|RAIL
100|1|1|63|1|19970509|2-HIGH|0|28|2696568|10777616|4|2588705|57783|5|19970722|TRUCK
100|2|1|116|1|19970509|2-HIGH|0|22|2235442|10777616|0|2235442|60966|7|19970621|SHIP
100|3|1|47|1|19970509|2-HIGH|0|46|4356384|10777616|3|4225692|56822|4|19970619|SHIP
100|4|1|39|2|19970509|2-HIGH|0|14|1314642|10777616|6|1235763|56341|3|19970710|MAIL
101|1|7|119|2|19960620|4-NOT SPECI|0|49|4993639|13491030|10|4494275|61146|0|19960830|REG AIR
101|2|7|164|2|19960620|4-NOT SPECI|0|36|3830976|13491030|0|3830976|63849|1|19960804|AIR
101|3|7|139|2|19960620|4-NOT SPECI|0|12|1246956|13491030|6|1172138|62347|2|19960724|MAIL
101|4|7|179|2|19960620|4-NOT SPECI|0|38|4100846|13491030|6|3854795|64750|2|19960913|AIR
102|1|16|89|2|19920615|1-URGENT|0|37|3659596|3440020|6|3440020|59344|0|19920908|SHIP
103|1|16|195|2|19921119|5-LOW|0|6|657114|15612190|3|637400|65711|5|19921224|FOB
103|2|16|11|1|19921119|5-LOW|0|37|3370737|15612190|2|3303322|54660|7|19921226|MAIL
103|3|16|29|1|19921119|5-LOW|0|23|2136746|15612190|1|2115378|55741|4|19930217|FOB
103|4|16|30|2|19921119|5-LOW|0|32|2976096|15612190|1|2946335|55801|7|19930105|RAIL
103|5|16|166|1|19921119|5-LOW|0|2|213232|15612190|5|202570|63969|6|19930212|RAIL
103|6|16|168|1|19921119|5-LOW|0|44|4699904|15612190|4|4511907|64089|1|19921227|MAIL
103|7|16|94|1|19921119|5-LOW|0|13|1292317|15612190|8|1188931|59645|8|19921230|TRUCK
128|1|8|107|1|19920508|2-HIGH|0|38|3826980|18057342|6|3597361|60426|1|19920720|FOB
128|2|8|49|2|19920508|2-HIGH|0|42|3985968|18057342|9|3627230|56942|6|19920706|FOB
128|3|8|12|2|19920508|2-HIGH|0|41|3739241|18057342|4|3589671|54720|5|19920709|RAIL
128|4|8|109|1|19920508|2-HIGH|0|44|4440040|18057342|5|4218038|60546|2|19920708|MAIL
128|5|8|130|2|19920508|2-HIGH|0|25|2575325|18057342|9|2343545|61807|7|19920628|AIR
129|1|19|3|1|19940608|3-MEDIUM|0|46|4153800|11003220|8|3821496|54180|2|19940813|TRUCK
129|2|19|186|1|19940608|3-MEDIUM|0|36|3910248|11003220|1|3871145|65170|2|19940714|REG AIR
129|3|19|40|1|19940608|3-MEDIUM|0|33|3102132|11003220|4|2978046|56402|6|19940903|SHIP
130|1|7|129|1|19930611|3-MEDIUM|0|14|1440768|8603615|8|1325506|61747|5|19930828|RAIL
130|2|7|2|1|19930611|3-MEDIUM|0|48|4329600|8603615|3|4199712|54120|2|19930815|AIR
130|3|7|12|1|19930611|3-MEDIUM|0|18|1641618|8603615|4|1575953|54720|8|19930718|MAIL
130|4|7|116|2|19930611|3-MEDIUM|0|13|1320943|8603615|9|1202058|60966|2|19930901|FOB
131|1|10|168|1|19971129|1-URGENT|0|45|4806720|10125129|10|4326048|64089|2|19980223|FOB
131|2|10|45|2|19971129|1-URGENT|0|50|4725200|10125129|2|4630696|56702|4|19980131|SHIP
131|3|10|190|1|19971129|1-URGENT|0|4|436076|10125129|4|418632|65411|3|19980220|REG AIR
131|4|10|65|2|19971129|1-URGENT|0|5|482530|10125129|9|439102|57903|6|19980118|TRUCK
132|1|2|141|1|19920501|4-NOT SPECI|0|18|1874052|16175892|0|1874052|62468|8|19920625|TRUCK
132|2|2|120|1|19920501|4-NOT SPECI|0|43|4386516|16175892|1|4342650|61207|8|19920706|TRUCK
132|3|2|115|1|19920501|4-NOT SPECI|0|32|3248352|16175892|4|3118417|60906|4|19920625|TRUCK
132|4|2|29|2|19920501|4-NOT SPECI|0|23|2136746|16175892|10|1923071|55741|0|19920717|AIR
132|5|2|173|1|19920501|4-NOT SPECI|0|9|965853|16175892|6|907901|64390|4|19920725|REG AIR
132|6|2|17|2|19920501|4-NOT SPECI|0|36|3301236|16175892|6|3103161|55020|8|19920628|AIR
133|1|13|104|1|19951021|4-NOT SPECI|0|27|2711070|17306512|0|2711070|60246|2|19960115|MAIL
133|2|13|177|2|19951021|4-NOT SPECI|0|12|1292604|17306512|2|1266751|64630|6|19951207|REG AIR
133|3|13|118|2|19951021|4-NOT SPECI|0|29|2952519|17306512|9|2686792|61086|8|19951222|RAIL
133|4|13|90|2|19951021|4-NOT SPECI|0|11|1089099|17306512|6|1023753|59405|1|19951207|REG AIR
133|5|13|187|1|19951021|4-NOT SPECI|0|42|4566156|17306512|0|4566156|65230|8|19960101|RAIL
133|6|13|181|2|19951021|4-NOT SPECI|0|39|4216602|17306512|4|4047937|64870|7|19951214|RAIL
134|1|17|1|1|19961219|4-NOT SPECI|0|21|1892100|8430163|0|1892100|54060|3|19970225|SHIP
134|2|17|165|2|19961219|4-NOT SPECI|0|35|3728060|8430163|6|3504376|63909|7|19970119|MAIL
134|3|17|189|2|19961219|4-NOT SPECI|0|26|2831868|8430163|9|2576999|65350|6|19970301|RAIL
135|1|4|109|1|19940831|2-HIGH|0|47|4742770|4814859|6|4458203|60546|8|19941111|RAIL
160|1|4|15|2|19950508|3-MEDIUM|0|36|3294036|3094087|7|3063453|54900|1|19950729|MAIL
161|1|19|103|2|19970905|3-MEDIUM|0|19|1905890|19979081|1|1886831|60186|1|19971124|TRUCK
161|2|19|115|1|19970905|3-MEDIUM|0|24|2436264|19979081|3|2363176|60906|6|19971112|MAIL
161|3|19|194|1|19970905|3-MEDIUM|0|23|2516637|19979081|3|2441137|65651|3|19971101|MAIL
161|4|19|74|1|19970905|3-MEDIUM|0|44|4285908|19979081|0|4285908|58444|2|19971103|FOB
161|5|19|96|2|19970905|3-MEDIUM|0|47|4681623|19979081|4|4494358|59765|5|19971108|AIR
161|6|19|124|1|19970905|3-MEDIUM|0|43|4403716|19979081|10|3963344|61447|0|19971102|RAIL
162|1|1|190|2|19921021|5-LOW|0|2|218038|22282117|2|213677|65411|1|19921130|FOB
162|2|1|161|2|19921021|5-LOW|0|37|3926292|22282117|9|3572925|63669|3|19930115|TRUCK
162|3|1|143|1|19921021|5-LOW|0|25|2607850|22282117|9|2373143|62588|5|19921224|MAIL
162|4|1|129|1|19921021|5-LOW|0|47|4836864|22282117|4|4643389|61747|8|19921217|REG AIR
162|5|1|184|1|19921021|5-LOW|0|39|4228302|22282117|0|4228302|65050|4|19921215|SHIP
162|6|1|56|1|19921021|5-LOW|0|32|3059360|22282117|0|3059360|57363|3|19921128|TRUCK
162|7|1|49|2|19921021|5-LOW|0|37|3511448|22282117|7|3265646|56942|2|19921123|MAIL
163|1|7|168|2|19930130|4-NOT SPECI|0|43|4593088|10181940|1|4547157|64089|0|19930415|REG AIR
163|2|7|121|1|19930130|4-NOT SPECI|0|13|1327456|10181940|1|1314181|61267|4|19930314|TRUCK
163|3|7|37|1|19930130|4-NOT SPECI|0|27|2529981|10181940|4|2428781|56221|8|19930424|REG AIR
163|4|7|193|1|19930130|4-NOT SPECI|0|5|546595|10181940|2|535663|65591|0|19930305|TRUCK
163|5|7|127|1|19930130|4-NOT SPECI|0|12|1232544|10181940|10|1109289|61627|0|19930322|TRUCK
164|1|22|92|1|19950912|2-HIGH|0|26|2579434|11469155|9|2347284|59525|4|19951013|RAIL
164|2|22|19|2|19950912|2-HIGH|0|24|2205624|11469155|5|2095342|55140|5|19951019|AIR
164|3|22|126|2|19950912|2-HIGH|0|38|3899256|11469155|3|3782278|61567|6|19951015|AIR
164|4|22|18|1|19950912|2-HIGH|0|32|2937632|11469155|5|2790750|55080|1|19951114|RAIL
165|1|25|34|2|19930104|4-NOT SPECI|0|3|280209|4711597|1|277406|56041|8|19930208|REG AIR
165|2|25|162|2|19930104|4-NOT SPECI|0|43|4567288|4711597|8|4201904|63729|5|19930324|TRUCK
166|1|17|65|2|19971125|5-LOW|0|37|3570722|14746652|9|3249357|57903|3|19971230|MAIL
166|2|17|167|1|19971125|5-LOW|0|13|1387308|14746652|9|1262450|64029|5|19980131|SHIP
166|3|17|100|1|19971125|5-LOW|0|41|4100410|14746652|7|3813381|60006|3|19980120|FOB
166|4|17|46|1|19971125|5-LOW|0|8|756832|14746652|5|718990|56762|2|19980211|RAIL
166|5|17|163|1|19971125|5-LOW|0|13|1382108|14746652|5|1313002|63789|5|19971229|SHIP
166|6|17|136|1|19971125|5-LOW|0|39|4040907|14746652|4|3879270|62167|4|19980121|FOB
167|1|16|102|1|19930808|1-URGENT|0|28|2805880|9186733|6|2637527|60126|1|19930920|TRUCK
167|2|16|172|1|19930808|1-URGENT|0|27|2894859|9186733|9|2634321|64330|0|19931102|FOB
167|3|16|123|1|19930808|1-URGENT|0|37|3785544|9186733|4|3634122|61387|7|19930920|REG AIR
192|1|13|98|2|19920405|3-MEDIUM|0|23|2295607|14343077|0|2295607|59885|0|19920617|AIR
192|2|13|162|2|19920405|3-MEDIUM|0|20|2124320|14343077|7|1975617|63729|1|19920613|REG AIR
192|3|13|111|2|19920405|3-MEDIUM|0|15|1516665|14343077|9|1380165|60666|1|19920621|TRUCK
192|4|13|197|2|19920405|3-MEDIUM|0|2|219438|14343077|6|206271|65831|2|19920614|SHIP
192|5|13|83|2|19920405|3-MEDIUM|0|25|2457700|14343077|2|2408546|58984|3|19920522|TRUCK
192|6|13|142|1|19920405|3-MEDIUM|0|45|4689630|14343077|0|4689630|62528|5|19920520|MAIL
192|7|13|22|2|19920405|3-MEDIUM|0|11|1014222|14343077|3|983795|55321|6|19920612|FOB
193|1|28|93|1|19931228|3-MEDIUM|0|9|893781|9399153|6|840154|59585|6|19940227|TRUCK
193|2|28|154|2|19931228|3-MEDIUM|0|15|1581225|9399153|2|1549600|63249|7|19940228|SHIP
193|3|28|94|1|19931228|3-MEDIUM|0|23|2286407|9399153|6|2149222|59645|5|19940302|TRUCK
193|4|28|197|2|19931228|3-MEDIUM|0|43|4717917|9399153|9|4293304|65831|7|19940218|TRUCK
194|1|13|3|1|19930317|2-HIGH|0|17|1535100|1627003|5|1458345|54180|4|19930503|AIR
194|2|13|184|1|19930317|2-HIGH|0|1|108418|1627003|4|104081|65050|6|19930429|REG AIR
195|1|7|85|2|19950407|2-HIGH|0|6|591048|13818043|4|567406|59104|2|19950705|REG AIR
195|2|7|94|2|19950407|2-HIGH|0|41|4075769|13818043|5|3871980|59645|7|19950522|TRUCK
195|3|7|86|1|19950407|2-HIGH|0|34|3352672|13818043|8|3084458|59164|8|19950522|TRUCK
195|4|7|86|1|19950407|2-HIGH|0|41|4042928|13818043|6|3800352|59164|4|19950621|RAIL
195|5|7|10|2|19950407|2-HIGH|0|14|1274014|13818043|3|1235793|54600|1|19950701|REG AIR
195|6|7|186|2|19950407|2-HIGH|0|5|543090|13818043|1|537659|65170|5|19950529|TRUCK
196|1|23|136|2|19980102|4-NOT SPECI|0|19|1968647|10637254|3|1909587|62167|2|19980314|SHIP
196|2|23|10|1|19980102|4-NOT SPECI|0|15|1365015|10637254|3|1324064|54600|4|19980223|SHIP
196|3|23|180|2|19980102|4-NOT SPECI|0|12|1296216|10637254|4|1244367|64810|6|19980323|RAIL
196|4|23|112|1|19980102|4-NOT SPECI|0|41|4149651|10637254|4|3983664|60726|8|19980311|MAIL
196|5|23|97|1|19980102|4-NOT SPECI|0|16|1595344|10637254|0|1595344|59825|6|19980316|FOB
197|1|11|99|1|19960307|2-HIGH|0|39|3896451|4771866|2|3818521|59945|4|19960531|AIR
197|2|11|178|1|19960307|2-HIGH|0|8|862536|4771866|9|784907|64690|2|19960531|SHIP
198|1|1|57|1|19940618|4-NOT SPECI|0|33|3158265|13387774|7|2937186|57423|2|19940903|TRUCK
198|2|1|16|1|19940618|4-NOT SPECI|0|20|1832020|13387774|3|1777059|54960|0|19940914|FOB
198|3|1|149|2|19940618|4-NOT SPECI|0|15|1573710|13387774|4|1510761|62948|2|19940812|MAIL
198|4|1|11|1|19940618|4-NOT SPECI|0|35|3188535|13387774|8|2933452|54660|2|19940906|RAIL
198|5|1|102|1|19940618|4-NOT SPECI|0|33|3306930|13387774|2|3240791|60126|1|19940826|SHIP
198|6|1|91|1|19940618|4-NOT SPECI|0|8|792872|13387774|1|784943|59465|3|19940728|SHIP
199|1|7|133|2|19950525|1-URGENT|0|50|5165650|22556073|2|5062337|61987|0|19950821|MAIL
199|2|7|134|1|19950525|1-URGENT|0|30|3102390|22556073|8|2854198|62047|5|19950816|TRUCK
199|3|7|94|1|19950525|1-URGENT|0|36|3578724|22556073|5|3399787|59645|1|19950624|TRUCK
199|4|7|145|2|19950525|1-URGENT|0|5|522570|22556073|10|470313|62708|5|19950725|TRUCK
199|5|7|150|1|19950525|1-URGENT|0|43|4515645|22556073|4|4335019|63009|1|19950715|RAIL
199|6|7|144|2|19950525|1-URGENT|0|8|835312|22556073|8|768487|62648|8|19950810|MAIL
199|7|7|132|2|19950525|1-URGENT|0|50|5160650|22556073|2|5057437|61927|6|19950822|AIR
224|1|26|151|1|19930310|2-HIGH|0|16|1681840|20025879|4|1614566|63069|0|19930421|MAIL
224|2|26|109|1|19930310|2-HIGH|0|34|3430940|20025879|4|3293702|60546|8|19930517|TRUCK
224|3|26|190|2|19930310|2-HIGH|0|41|4469779|20025879|7|4156894|65411|4|19930607|SHIP
224|4|26|167|2|19930310|2-HIGH|0|12|1280592|20025879|8|1178144|64029|6|19930521|MAIL
224|5|26|94|2|19930310|2-HIGH|0|45|4473405|20025879|7|4160266|59645|7|19930525|AIR
224|6|26|51|2|19930310|2-HIGH|0|4|380420|20025879|2|372811|57063|0|19930516|FOB
224|7|26|105|1|19930310|2-HIGH|0|44|4422440|20025879|4|4245542|60306|5|19930605|AIR
225|1|2|172|1|19951110|5-LOW|0|4|428868|751673|9|390269|64330|7|19960204|SHIP
225|2|2|131|2|19951110|5-LOW|0|3|309339|751673|0|309339|61867|8|19951224|REG AIR
226|1|10|97|1|19930225|1-URGENT|0|4|398836|398836|0|398836|59825|0|19930417|TRUCK
227|1|23|166|2|19931229|1-URGENT|0|19|2025704|15940469|5|1924418|63969|6|19940320|RAIL
227|2|23|175|2|19931229|1-URGENT|0|24|2580408|15940469|7|2399779|64510|7|19940211|SHIP
227|3|23|130|2|19931229|1-URGENT|0|32|3296416|15940469|2|3230487|61807|4|19940226|RAIL
227|4|23|135|2|19931229|1-URGENT|0|47|4865111|15940469|7|4524553|62107|8|19940222|MAIL
227|5|23|10|1|19931229|1-URGENT|0|20|1820020|15940469|1|1801819|54600|3|19940209|RAIL
227|6|23|181|1|19931229|1-URGENT|0|12|1297416|15940469|7|1206596|64870|2|19940304|SHIP
228|1|22|5|1|19931027|1-URGENT|0|3|271500|14530777|10|244350|54300|8|19931208|SHIP
228|2|22|73|1|19931027|1-URGENT|0|39|3794973|14530777|7|3529324|58384|6|19931216|MAIL
228|3|22|38|2|19931027|1-URGENT|0|30|2814090|14530777|9|2560821|56281|8|19940125|FOB
228|4|22|60|1|19931027|1-URGENT|0|9|864054|14530777|5|820851|57603|8|19940110|SHIP
228|5|22|158|1|19931027|1-URGENT|0|29|3068635|14530777|1|3037948|63489|0|19931126|RAIL
228|6|22|29|1|19931027|1-URGENT|0|41|3808982|14530777|5|3618532|55741|6|19940101|AIR
229|1|19|84|2|19940929|2-HIGH|0|20|1968160|7844515|2|1928796|59044|3|19941101|REG AIR
229|2|19|129|1|19940929|2-HIGH|0|29|2984448|7844515|7|2775536|61747|0|19941201|SHIP
229|3|19|79|1|19940929|2-HIGH|0|28|2741396|7844515|2|2686568|58744|2|19941103|FOB
229|4|19|177|2|19940929|2-HIGH|0|3|323151|7844515|2|316687|64630|8|19941223|REG AIR
230|1|25|186|2|19931019|4-NOT SPECI|0|46|4996428|5324651|9|4546749|65170|0|19940107|SHIP
230|2|25|195|1|19931019|4-NOT SPECI|0|6|657114|5324651|3|637400|65711|8|19940117|REG AIR
